event_session,closure,holiday,ret
2000-11-22,2000-11-23,Thanksgiving,-0.01854751229242224
2000-12-22,2000-12-25,Christmas Day,0.02438696498246351
2000-12-29,2001-01-01,New Year's Day,-0.010448008358699412
2001-01-12,2001-01-15,Martin Luther King Jr. Day,-0.006232870921233369
2001-02-16,2001-02-19,Washington's Birthday,-0.01890529720989631
2001-04-12,2001-04-13,Good Friday,0.015104328135851386
2001-05-25,2001-05-28,Memorial Day,-0.011815947460596443
2001-07-03,2001-07-04,Independence Day,-0.0018355161920441398
2001-08-31,2001-09-03,Labor Day,0.004029943083662779
2001-11-21,2001-11-22,Thanksgiving,-0.004927104050553632
2001-12-24,2001-12-25,Christmas Day,-0.00020961859331847243
2001-12-31,2002-01-01,New Year's Day,-0.011145426658350721
2002-01-18,2002-01-21,Martin Luther King Jr. Day,-0.009922071491006434
2002-02-15,2002-02-18,Washington's Birthday,-0.011016701573680177
2002-03-28,2002-03-29,Good Friday,0.002455100300232438
2002-05-24,2002-05-27,Memorial Day,-0.012086639348795059
2002-07-03,2002-07-04,Independence Day,0.006222999094795512
2002-08-30,2002-09-02,Labor Day,-0.0018849209977764847
2002-11-27,2002-11-28,Thanksgiving,0.027986113835301696
2002-12-24,2002-12-25,Christmas Day,-0.005471521710948668
2002-12-31,2003-01-01,New Year's Day,0.0004889669755383519
2003-01-17,2003-01-20,Martin Luther King Jr. Day,-0.014016998284796078
2003-02-14,2003-02-17,Washington's Birthday,0.021434625244272754
2003-04-17,2003-04-18,Good Friday,0.015535730202556941
2003-05-23,2003-05-26,Memorial Day,0.0014486737345456024
2003-07-03,2003-07-04,Independence Day,-0.00810061664701256
2003-08-29,2003-09-01,Labor Day,0.005155341601558616
2003-11-26,2003-11-27,Thanksgiving,0.0043267669871212
2003-12-24,2003-12-25,Christmas Day,-0.001806518524722578
2003-12-31,2004-01-01,New Year's Day,0.0020547468248948153
2004-01-16,2004-01-19,Martin Luther King Jr. Day,0.0068724057161748675
2004-02-13,2004-02-16,Washington's Birthday,-0.0054681643574940875
2004-04-08,2004-04-09,Good Friday,-0.001060983031335394
2004-05-28,2004-05-31,Memorial Day,-0.0005350809523592126
2004-07-02,2004-07-05,Independence Day,-0.003153344471985897
2004-09-03,2004-09-06,Labor Day,-0.004184933932207091
2004-11-24,2004-11-25,Thanksgiving,0.004095424235170286
2004-12-23,2004-12-24,Christmas Day,0.0004630229078261827
2005-01-14,2005-01-17,Martin Luther King Jr. Day,0.00600455955884871
2005-02-18,2005-02-21,Washington's Birthday,0.0006995343079845284
2005-03-24,2005-03-25,Good Friday,-0.0009466583574222476
2005-05-27,2005-05-30,Memorial Day,0.0009686162425619482
2005-07-01,2005-07-04,Independence Day,0.0026105155299391836
2005-09-02,2005-09-05,Labor Day,-0.002922376893187084
2005-11-23,2005-11-24,Thanksgiving,0.0034728042867999687
2005-12-23,2005-12-26,Christmas Day,0.00042585801389405376
2005-12-30,2006-01-02,New Year's Day,-0.004886724277406218
2006-01-13,2006-01-16,Martin Luther King Jr. Day,0.0012051744764605132
2006-02-17,2006-02-20,Washington's Birthday,-0.0016597237744756521
2006-04-13,2006-04-14,Good Friday,0.0007763251900372303
2006-05-26,2006-05-29,Memorial Day,0.005719336676629716
2006-07-03,2006-07-04,Independence Day,0.0078648957789349
2006-09-01,2006-09-04,Labor Day,0.00551461380616769
2006-11-22,2006-11-23,Thanksgiving,0.0023380978817977294
2006-12-22,2006-12-25,Christmas Day,-0.005316251006780903
2006-12-29,2007-01-01,New Year's Day,-0.004513087903512458
2007-01-12,2007-01-15,Martin Luther King Jr. Day,0.004853165737491727
2007-02-16,2007-02-19,Washington's Birthday,-0.0008717811383565088
2007-04-05,2007-04-06,Good Friday,0.003049955649575775
2007-05-25,2007-05-28,Memorial Day,0.00545268067865301
2007-07-03,2007-07-04,Independence Day,0.0035802512876219605
2007-08-31,2007-09-03,Labor Day,0.011216744478492524
2007-11-21,2007-11-22,Thanksgiving,-0.015926882279853283
2007-12-24,2007-12-25,Christmas Day,0.008077004803014542
2007-12-31,2008-01-01,New Year's Day,-0.006851588410961562
2008-01-18,2008-01-21,Martin Luther King Jr. Day,-0.006045421784173999
2008-02-15,2008-02-18,Washington's Birthday,0.0008377480947496796
2008-03-20,2008-03-21,Good Friday,0.0239444592412823
2008-05-23,2008-05-26,Memorial Day,-0.013210400686713863
2008-07-03,2008-07-04,Independence Day,0.0010939223012293997
2008-08-29,2008-09-01,Labor Day,-0.013723665251360151
2008-11-26,2008-11-27,Thanksgiving,0.03532812081997916
2008-12-24,2008-12-25,Christmas Day,0.005781143038123382
2008-12-31,2009-01-01,New Year's Day,0.01415834135471683
2009-01-16,2009-01-19,Martin Luther King Jr. Day,0.0075615769747268136
2009-02-13,2009-02-16,Washington's Birthday,-0.00999769580757559
2009-04-09,2009-04-10,Good Friday,0.0380532568665477
2009-05-22,2009-05-25,Memorial Day,-0.00149721056843366
2009-07-02,2009-07-03,Independence Day,-0.029144546025377416
2009-09-04,2009-09-07,Labor Day,0.013117533499250822
2009-11-25,2009-11-26,Thanksgiving,0.004504120073066664
2009-12-24,2009-12-25,Christmas Day,0.005256172933982839
2009-12-31,2010-01-01,New Year's Day,-0.010049597767921581
2010-01-15,2010-01-18,Martin Luther King Jr. Day,-0.010823130159869354
2010-02-12,2010-02-15,Washington's Birthday,-0.002744592819371894
2010-04-01,2010-04-02,Good Friday,0.0074138011482498545
2010-05-28,2010-05-31,Memorial Day,-0.01237468831159061
2010-07-02,2010-07-05,Independence Day,-0.004662369010297374
2010-09-03,2010-09-06,Labor Day,0.013219002387319545
2010-11-24,2010-11-25,Thanksgiving,0.014922967493543604
2010-12-23,2010-12-24,Christmas Day,-0.0016443283858672553
2011-01-14,2011-01-17,Martin Luther King Jr. Day,0.007384542591010179
2011-02-18,2011-02-21,Washington's Birthday,0.0019247226272978146
2011-04-21,2011-04-22,Good Friday,0.0052767819301140495
2011-05-27,2011-05-30,Memorial Day,0.004080919686204165
2011-07-01,2011-07-04,Independence Day,0.014409702179091433
2011-09-02,2011-09-05,Labor Day,-0.025281938303220453
2011-11-23,2011-11-24,Thanksgiving,-0.02209521492281885
2011-12-23,2011-12-26,Christmas Day,0.009035052675189448
2011-12-30,2012-01-02,New Year's Day,-0.0042913365279230176
2012-01-13,2012-01-16,Martin Luther King Jr. Day,-0.004947922948427275
2012-02-17,2012-02-20,Washington's Birthday,0.0023489303072772305
2012-04-05,2012-04-06,Good Friday,-0.0006290422223540482
2012-05-25,2012-05-28,Memorial Day,-0.002165632329979128
2012-07-03,2012-07-04,Independence Day,0.0062321108631679945
2012-08-31,2012-09-03,Labor Day,0.0050732955705157234
2012-11-21,2012-11-22,Thanksgiving,0.002320181125065268
2012-12-24,2012-12-25,Christmas Day,-0.002440296594621194
2012-12-31,2013-01-01,New Year's Day,0.016941941334216226
2013-01-18,2013-01-21,Martin Luther King Jr. Day,0.0034032703971196288
2013-02-15,2013-02-18,Washington's Birthday,-0.0010450813177572682
2013-03-28,2013-03-29,Good Friday,0.00405666949441863
2013-05-24,2013-05-27,Memorial Day,-0.0005513654411685165
2013-07-03,2013-07-04,Independence Day,0.0008240472350893313
2013-08-30,2013-09-02,Labor Day,-0.0031743183568806455
2013-11-27,2013-11-28,Thanksgiving,0.0024850813860768373
2013-12-24,2013-12-25,Christmas Day,0.0029157468493599126
2013-12-31,2014-01-01,New Year's Day,0.003959675229718407
2014-01-17,2014-01-20,Martin Luther King Jr. Day,-0.0038951743709019215
2014-02-14,2014-02-17,Washington's Birthday,0.004809216724759979
2014-04-17,2014-04-18,Good Friday,0.001363852909705754
2014-05-23,2014-05-26,Memorial Day,0.004248391856225497
2014-07-03,2014-07-04,Independence Day,0.005479508115899812
2014-08-29,2014-09-01,Labor Day,0.00332041473363498
2014-11-26,2014-11-27,Thanksgiving,0.0028059818899186517
2014-12-24,2014-12-25,Christmas Day,-0.00013929653841071588
2014-12-31,2015-01-01,New Year's Day,-0.010310858415930158
2015-01-16,2015-01-19,Martin Luther King Jr. Day,0.013424199395820402
2015-02-13,2015-02-16,Washington's Birthday,0.004074738491730789
2015-04-02,2015-04-03,Good Friday,0.0035296669586522
2015-05-22,2015-05-25,Memorial Day,-0.002233886303356414
2015-07-02,2015-07-03,Independence Day,-0.0003080227407983305
2015-09-04,2015-09-07,Labor Day,-0.015329595723932221
2015-11-25,2015-11-26,Thanksgiving,-0.00012913227667687988
2015-12-24,2015-12-25,Christmas Day,-0.001598636221499028
2015-12-31,2016-01-01,New Year's Day,-0.00941191309542666
2016-01-15,2016-01-18,Martin Luther King Jr. Day,-0.021599098001850003
2016-02-12,2016-02-15,Washington's Birthday,0.019518049565855122
2016-03-24,2016-03-25,Good Friday,-0.0003780702927851376
2016-05-27,2016-05-30,Memorial Day,0.004286857336424754
2016-07-01,2016-07-04,Independence Day,0.00194860235588723
2016-09-02,2016-09-05,Labor Day,0.004201041336424849
2016-11-23,2016-11-24,Thanksgiving,0.0008080244329033981
2016-12-23,2016-12-26,Christmas Day,0.0012517152775348706
2016-12-30,2017-01-02,New Year's Day,-0.004637050227782158
2017-01-13,2017-01-16,Martin Luther King Jr. Day,0.0018498402425362048
