year,summer,winter,diff
1964,0.06795874135536106,0.05008248844487451,-0.017876252910486556
1965,0.03714507390777966,-0.01471543645635498,-0.05186051036413464
1966,-0.1192620349387068,0.17219458495616569,0.2914566198948725
1967,-0.007552378133592774,0.044587308645714696,0.05213968677930747
1968,0.061050735004415824,0.002707656603627484,-0.05834307840078834
1969,-0.06336193982189176,-0.1606260879565785,-0.09726414813468676
1970,0.021221828117932162,0.2486486119908975,0.22742678387296533
1971,-0.09350643459997676,0.14262967561512685,0.2361361102151036
1972,0.03631469981056501,-0.04131565275766558,-0.07763035256823059
1973,0.012339905391800299,-0.16603567462298807,-0.17837558001478837
1974,-0.18170741309197713,0.1813261332773639,0.36303354636934104
1975,0.01993124631093046,0.1415094153702312,0.12157816905930074
1976,0.012396715306934647,-0.04334304196634042,-0.05573975727327507
1977,-0.06196674067685515,0.04862470945671493,0.11059145013357008
1978,-0.03800475302681994,0.09243156703502153,0.13043632006184147
1979,0.0005895986373256612,0.04390101388824075,0.043311415250915086
1980,0.19926615977742212,0.04189218080138635,-0.15737397897603578
1981,-0.08222271191690644,-0.04471242083462523,0.03751029108228121
1982,0.14840259719156523,0.22965892293398693,0.0812563257424217
1983,-0.005351758579461796,-0.021400183030827025,-0.01604842445136523
1984,0.037738164142237185,0.08272626766281377,0.04498810352057658
1985,0.05555249619887914,0.24075437353758544,0.1852018773387063
1986,0.035920479371642555,0.1819001164078391,0.14597963703619654
1987,-0.12682061979176562,0.037888691133533436,0.16470931092529906
1988,0.0675009205021313,0.10994018458447208,0.04243926408234078
1989,0.09921188880579335,-0.028087900957919354,-0.1272997897637127
1990,-0.08101568555601502,0.23467104058516663,0.31568672614118165
1991,0.045585378686202827,0.057332142438896394,0.011746763752693568
1992,0.008988987490110345,0.05137577658811576,0.04238678909800542
1993,0.062791031094666,-0.036166948241447505,-0.0989579793361135
1994,0.04754829626151347,0.08967929569552568,0.04213099943401222
1995,0.12976234224343863,0.12496987602778376,-0.004792466215654878
1996,0.07811430966882504,0.13621734181763534,0.058103032148810296
1997,0.14136317226813144,0.21553214005293508,0.07416896778480364
1998,-0.011765195461828082,0.21526937142685698,0.22703456688868506
1999,0.02078371371926413,0.06566734643227856,0.04488363271301443
2000,-0.015856205424856107,-0.1258850289654384,-0.1100288235405823
2001,-0.15180953177427448,0.01617318139105617,0.16798271316533064
2002,-0.17750624594131414,0.035178798772792064,0.2126850447141062
2003,0.1459123811466252,0.05385890492570611,-0.09205347622091908
2004,0.02068084650405755,0.023579919983565567,0.0028990734795080186
2005,0.043359152213563235,0.08583191087707265,0.04247275866350941
2006,0.05137299181848265,0.07578708663046818,0.02441409481198553
2007,0.04520464525479495,-0.10571327792169871,-0.15091792317649366
2008,-0.30083933638587657,-0.09903484122983874,0.20180449515603782
2009,0.1871884422779977,0.1452436411375999,-0.04194480114039778
2010,-0.0028903351422703283,0.1524178744295268,0.15530820957179714
2011,-0.08089551829953612,0.11538337167287072,0.19627888997240683
2012,0.010193789050496394,0.13129525522727192,0.12110146617677553
2013,0.0995074382456329,0.07253459031732401,-0.026972847928308896
2014,0.07118028670179655,0.033428289341324025,-0.03775199736047252
2015,-0.0029488721295760634,-0.006761723735857483,-0.00381285160628142
2016,0.02946296038202889,0.12136964027967423,0.09190667989764534
2017,0.08013592085673893,0.028265122273662957,-0.05187079858307597
2018,0.024051638085328397,0.08632468036524132,0.06227304227991293
2019,0.03113892452586242,-0.041194289014668595,-0.07233321354053102
2020,0.12276004494139747,0.2786608924337579,0.15590084749236044
2021,0.1014572401657543,-0.1028036164395878,-0.2042608566053421
2022,-0.06291253342957326,0.07683407494374084,0.1397466083733141
2023,0.0058328195201013955,0.20074638178430781,0.19491356226420642
2024,0.13300267921563425,-0.023905236580770706,-0.15690791579640495
2025,0.22825039115123613,0.053917949735629245,-0.1743324414156069
