event_session,closure,holiday,ret
2019-12-24,2019-12-25,Boxing Day + Christmas Day,0.001128088769883684
2019-12-31,2020-01-01,New Year's Day,-0.005891604794605043
2020-04-09,2020-04-10,Easter Monday + Good Friday,0.029061062459096343
2020-05-22,2020-05-25,Spring Bank Holiday,-0.003657340567274181
2020-08-28,2020-08-31,Summer Bank Holiday,-0.006066650390625039
2020-12-24,2020-12-25,Boxing Day + Christmas Day,0.0009699025767702096
2020-12-31,2021-01-01,New Year's Day,-0.014536716728195231
2021-04-01,2021-04-02,Easter Monday + Good Friday,0.003530104070321949
2021-04-30,2021-05-03,Early May Bank Holiday,0.0011922437244127337
2021-05-28,2021-05-31,Spring Bank Holiday,0.0004131091447019397
2021-08-27,2021-08-30,Summer Bank Holiday,0.00322807017543858
2021-12-24,2021-12-27,Christmas Day,-0.00016270965009279603
2021-12-31,2022-01-03,New Year's Day,-0.0024989868972038476
2022-04-14,2022-04-15,Easter Monday + Good Friday,0.004696087295991802
2022-04-29,2022-05-02,Early May Bank Holiday,0.004714204099372399
2022-08-26,2022-08-29,Summer Bank Holiday,-0.007005680609744158
2022-12-23,2022-12-26,Boxing Day + Christmas Day,0.0004953871727277903
2022-12-30,2023-01-02,New Year's Day,-0.008119583959714016
2023-04-06,2023-04-07,Easter Monday + Good Friday,0.010270288835226626
2023-04-28,2023-05-01,Early May Bank Holiday,0.004979825260954307
2023-05-26,2023-05-29,Spring Bank Holiday,0.007436406991898181
2023-08-25,2023-08-28,Summer Bank Holiday,0.0006817933802523157
2023-12-22,2023-12-25,Boxing Day + Christmas Day,0.0003638614392287298
2023-12-29,2024-01-01,New Year's Day,0.0013596280749541556
2024-03-28,2024-03-29,Easter Monday + Good Friday,0.002597087450359359
2024-05-03,2024-05-06,Early May Bank Holiday,0.005053694684473031
2024-05-24,2024-05-27,Spring Bank Holiday,-0.0025902467181015965
2024-08-23,2024-08-26,Summer Bank Holiday,0.004802099986426223
2024-12-24,2024-12-25,Boxing Day + Christmas Day,0.004233132642294191
2024-12-31,2025-01-01,New Year's Day,0.006403152321142747
2025-04-17,2025-04-18,Easter Monday + Good Friday,1.2154519581475398e-05
2025-05-02,2025-05-05,Early May Bank Holiday,0.011722129298910033
2025-05-23,2025-05-26,Spring Bank Holiday,-0.002437243848308679
2025-08-22,2025-08-25,Summer Bank Holiday,0.0013105524703016513
2025-12-24,2025-12-25,Boxing Day + Christmas Day,-0.0018707276255535144
2025-12-31,2026-01-01,New Year's Day,-0.0009355281323024656
2026-04-02,2026-04-03,Easter Monday + Good Friday,0.006898348385625752
2026-05-01,2026-05-04,Early May Bank Holiday,-0.001435562333110152
2026-05-22,2026-05-25,Spring Bank Holiday,0.0021831574364437056
2026-08-28,2026-08-31,Summer Bank Holiday,0.0029464725214269905
