,q05,q10,q50,q90,q95
-7,-0.00861477609102663,-0.00019028698117381934,0.026384341592867698,0.05444202410636141,0.06147407512228533
-6,-0.008083688682714595,-0.00034619072239490216,0.026205210829755625,0.05462779824872764,0.06191839474066383
-5,-0.008364788853083645,-0.0005529111456551674,0.026473155942325168,0.05460585090403018,0.06265295445780143
-4,-0.00792951955854696,-0.0004390939783032627,0.02703254117131433,0.05500357188586859,0.0642331710636869
-3,-0.008088178079145105,0.0002045025618416239,0.02710300134154834,0.05568827380711653,0.06501481333603785
-2,-0.008056671362446761,0.0002790378128023286,0.027453750045072965,0.05630130290282001,0.0656202106997235
-1,-0.007327241345118575,0.0003415836727499986,0.02767370553081569,0.05692025057249769,0.06648200446443887
0,-0.00796048438282515,0.000757377891262763,0.02840626510124762,0.05754766632838425,0.06661441018262558
1,-0.007873049105200501,0.0006077245941980839,0.028613929109426606,0.05790123098985554,0.0659833579861376
2,-0.007565312663604887,0.0004724633958685237,0.028841482194836694,0.05849703745891697,0.06645302674617116
3,-0.007667507493893086,0.0011555007838827801,0.029104268052775745,0.05874213333054907,0.06688714084456988
4,-0.007546343128089403,0.0016806049694989861,0.029474163045580322,0.05927011218342236,0.06772499199952048
5,-0.0075540296757397735,0.0019501539938508049,0.029619233042941055,0.06034788322791802,0.06811919279331871
6,-0.007334639238823931,0.0016477256654608965,0.030293144680320506,0.06046714496160292,0.06815223527829917
7,-0.00750045897977509,0.0017792138445958368,0.03060422572509344,0.06096696348804711,0.06930783442317767
8,-0.007340744342304838,0.00211476465160231,0.030402816182561097,0.06115671030150773,0.06946262806203045
9,-0.007628303380884236,0.002649482020866442,0.031324564672224636,0.06176622804484061,0.07074688134226041
10,-0.007050562080523406,0.0028926408268780605,0.03160779096404509,0.062030361890891186,0.0707138363445789
11,-0.006493808827453653,0.002659694781103521,0.03184102650451745,0.06211578245057118,0.0713124201559698
12,-0.006252148889159966,0.002643279868028682,0.03237846427230252,0.0629206615823873,0.0713828190693153
13,-0.006802076119614188,0.0029078115526064117,0.03277757786645466,0.06298837833884949,0.0722585799121243
14,-0.006901621850374864,0.0037950841065072898,0.03303898958739851,0.06322133387723021,0.07240996891320096
15,-0.005844124973479348,0.003386367208425618,0.033084802522916554,0.06402948792049681,0.07212398471248939
16,-0.005620754385676747,0.003240104832065298,0.0333217109397512,0.0647958115901344,0.0736793791088943
17,-0.005228183628009923,0.0032203486311197602,0.03377114271478648,0.0650557639785049,0.07437186471009466
18,-0.0050600899449284075,0.003132915464599147,0.0337696349826108,0.06558473890937891,0.0736609050216235
19,-0.005178582187812693,0.00331911516731729,0.03397777521262805,0.0659647742270653,0.07405914889861505
20,-0.004911223303730774,0.003595513534660021,0.03459739178981894,0.06607452178610085,0.07512078628051855
21,-0.00499900138257139,0.003751263232398241,0.034660603441086596,0.06728472813441906,0.07587027628291901
22,-0.004599321289623331,0.003985117776953949,0.0354160489239263,0.06791829058034515,0.07571498080274634
23,-0.004615440864853076,0.004641877763155992,0.03553708495149191,0.06844240913278503,0.07609299369597773
24,-0.004304369621757975,0.004556704414109782,0.03588932523393841,0.0683022134647547,0.07693007530830975
25,-0.004364275580521519,0.004615911063425918,0.03621913712213282,0.06889819455812712,0.07788589587255382
26,-0.004352389951294504,0.00423683222505698,0.0363936189797895,0.0691407462854421,0.07744865877528075
27,-0.004053969285883586,0.005067511725525578,0.03685652595234118,0.06979928964260611,0.07850078883728484
28,-0.003868498105944531,0.005370747723608563,0.03692404406574884,0.07036294636523398,0.07854225563065509
29,-0.00392687720186224,0.005266588588397345,0.037205333557520065,0.07021083823256168,0.07953701704839648
30,-0.0038493218221513693,0.005235460295381822,0.03763404966584586,0.07094418085753428,0.07994960990669778
31,-0.0025941552718212408,0.0058516142205354916,0.037883926281628386,0.07185721054221958,0.08084973575611035
32,-0.0031384161840517922,0.006001816436009496,0.03829570529566738,0.07196718465631546,0.08162846371214716
33,-0.0027396896949262147,0.006049448012715791,0.038921381533130336,0.07265754803716666,0.08163361533323565
34,-0.0029298080540634077,0.006765645022332035,0.03875357988063671,0.07312773573249386,0.08191444376315944
35,-0.0026026006567819605,0.006466374771845398,0.03920636601880074,0.07357934577084778,0.08148084656044985
36,-0.0037507913270861232,0.006941715663070015,0.03996105366667766,0.07408685867042518,0.08263960052669536
37,-0.0026802828837001738,0.006606855171780378,0.040413234195953385,0.07478809445256177,0.0826125008573156
38,-0.0022795078212894592,0.006663000207884781,0.040711219857965095,0.07534011282856233,0.08394947777640283
39,-0.002359470478409682,0.006708941857973565,0.041150797608860326,0.07565883992820142,0.08387508769710822
40,-0.002311032271108036,0.006564384327902927,0.04117498799168415,0.07602280188252188,0.08459473668744819
41,-0.002716075693325308,0.007082543161140936,0.04175295158335872,0.07670181279671615,0.08515113021124457
42,-0.0029605017542944354,0.006645048045487947,0.04233386072456399,0.07649190741069749,0.0853212468690387
